Dry bulb temp (C),RH,Pressure
0,0.7711,98
-1,0.7726,99
-1,0.7741,99
-1,0.7756,99
-2,0.7771,99
-2,0.7786,99
-2,0.7801,99
-1,0.7816,99
0,0.7831,99
0,0.7846,99
0,0.7861,99
1,0.7876,99
2,0.7891,99
2,0.7906,99
1,0.7921,99
0,0.7936,99
0,0.7951,99
-1,0.7966,99
-1,0.7981,100
-1,0.7996,100
-1,0.8011,99
-1,0.8026,99
-1,0.8041,99
-1,0.8056,99
-1,0.8071,99
0,0.8086,99
0,0.8101,99
0,0.8116,99
0,0.8131,99
1,0.8146,99
1,0.8161,99
1,0.8176,99
2,0.8191,99
3,0.8206,98
4,0.8221,98
5,0.8236,98
6,0.8251,98
7,0.8266,98
7,0.8281,98
6,0.8296,98
6,0.8311,98
5,0.8326,98
4,0.8341,98
3,0.8356,99
2,0.8371,99
1,0.8386,99
1,0.8401,99
1,0.8416,99
1,0.8431,99
1,0.8446,99
0,0.8461,99
0,0.8476,99
0,0.8491,99
0,0.8506,99
0,0.8521,99
0,0.8536,99
0,0.8551,99
1,0.8566,99
1,0.8581,99
2,0.8596,99
2,0.8611,99
2,0.8626,99
1,0.8641,99
1,0.8656,98
0,0.8671,98
0,0.8686,99
0,0.8701,99
0,0.8716,98
0,0.8731,98
0,0.8746,98
0,0.8761,99
0,0.8776,99
0,0.8791,99
0,0.8806,99
-1,0.8821,99
-2,0.8836,99
-2,0.8851,99
-3,0.8866,99
-3,0.8881,99
-3,0.8896,99
-2,0.8911,99
0,0.8926,99
0,0.8941,99
1,0.8956,99
1,0.8971,99
1,0.8986,99
1,0.9001,99
0,0.9016,99
0,0.9031,99
-1,0.9046,99
-2,0.9061,99
-2,0.9076,99
-2,0.9091,99
-2,0.9106,99
-1,0.9121,99
-1,0.9136,99
-1,0.9151,99
-1,0.9166,99
-1,0.9181,99
-1,0.9196,99
-2,0.9211,99
-2,0.9226,99
-2,0.9241,99
-3,0.9256,99
-3,0.9271,99
-2,0.9286,99
-2,0.9301,99
-2,0.9316,99
-3,0.9331,99
-3,0.9346,98
-3,0.9361,98
-3,0.9376,98
-4,0.9391,98
-5,0.9406,98
-5,0.9421,98
-5,0.9436,98
-4,0.9451,98
-4,0.9466,98
-4,0.9481,98
-4,0.9496,98
-4,0.9511,98
-4,0.9526,98
-4,0.9541,97
-4,0.9556,97
-4,0.9571,97
-4,0.9586,97
-4,0.9601,97
-3,0.9616,97
-3,0.9631,97
-2,0.9646,96
-1,0.9661,96
0,0.9676,96
0,0.9691,96
0,0.9706,96
0,0.9721,96
-1,0.9736,97
-2,0.9751,97
-3,0.9766,97
-3,0.9781,97
-3,0.9796,97
-4,0.9811,97
-4,0.9826,97
-4,0.9841,98
-5,0.9856,98
-6,0.9871,98
-6,0.9886,98
-6,0.9901,98
-7,0.9916,98
-7,0.9931,98
-7,0.9946,98
-7,0.9961,98
-7,0.9976,98
-6,0.9991,99
-3,1.0006,99
-1,1.0021,99
-1,1.0036,99
-1,1.0051,99
-1,1.0066,99
-1,1.0081,99
-1,1.0096,99
-2,1.0111,99
-3,1.0126,99
-3,1.0141,99
-3,1.0156,99
-3,1.0171,98
-3,1.0186,98
-3,1.0201,98
-2,1.0216,98
-2,1.0231,98
-3,1.0246,98
-4,1.0261,98
-5,1.0276,98
-4,1.0291,98
-4,1.0306,98
-3,1.0321,98
-3,1.0336,98
-3,1.0351,98
-2,1.0366,98
-1,1.0381,98
0,1.0396,98
0,1.0411,98
0,1.0426,99
0,1.0441,99
0,1.0456,99
-1,1.0471,99
-2,1.0486,99
-3,1.0501,99
-3,1.0516,99
-3,1.0531,99
-3,1.0546,99
-3,1.0561,99
-3,1.0576,99
-3,1.0591,99
-3,1.0606,99
-3,1.0621,99
-4,1.0636,99
-4,1.0651,99
-3,1.0666,99
-3,1.0681,99
-3,1.0696,99
-2,1.0711,99
0,1.0726,99
0,1.0741,99
0,1.0756,99
0,1.0771,99
1,1.0786,98
0,1.0801,98
0,1.0816,98
0,1.0831,98
-1,1.0846,98
-1,1.0861,98
-1,1.0876,98
0,1.0891,98
0,1.0906,98
0,1.0921,98
0,1.0936,98
0,1.0951,97
0,1.0966,97
0,1.0981,98
0,1.0996,98
0,1.1011,98
0,1.1026,98
0,1.1041,98
0,1.1056,98
0,1.1071,98
0,1.1086,98
0,1.1101,98
0,1.1116,98
0,1.1131,98
0,1.1146,98
0,1.1161,98
0,1.1176,98
-2,1.1191,98
-3,1.1206,98
-4,1.1221,99
-3,1.1236,99
-3,1.1251,99
-3,1.1266,99
-3,1.1281,99
-3,1.1296,99
-3,1.1311,99
-3,1.1326,99
-3,1.1341,98
-3,1.1356,98
-3,1.1371,98
-3,1.1386,98
-3,1.1401,98
-2,1.1416,98
-1,1.1431,98
-1,1.1446,98
0,1.1461,98
0,1.1476,98
0,1.1491,98
0,1.1506,98
0,1.1521,98
0,1.1536,98
